WELL_ID,DEPT,DPHI,GRD,ILD
49025097080000_490513,157.0,0.1236,102.0955,7.0156
49025097080000_490513,157.5,0.1374,103.0008,7.1621
49025097080000_490513,158.0,0.1442,102.5648,7.3094
49025097080000_490513,158.5,0.1409,100.564,7.3816
49025097080000_490513,159.0,0.1328,98.5631,7.5282
49025097080000_490513,159.5,0.1289,97.9008,7.6011
49025097080000_490513,160.0,0.1238,99.703,7.7477
49025097080000_490513,160.5,0.1202,99.7141,7.7447
49025097080000_490513,161.0,0.1193,99.7252,7.7413
49025097080000_490513,161.5,0.1226,100.6305,7.8142
49025097080000_490513,162.0,0.1345,101.5358,7.8106
49025097080000_490513,162.5,0.1405,101.5469,7.8077
49025097080000_490513,163.0,0.1407,101.558,7.7297
49025097080000_490513,163.5,0.1451,100.8984,7.7262
49025097080000_490513,164.0,0.1477,99.7918,7.6483
49025097080000_490513,164.5,0.1492,98.2381,7.6454
49025097080000_490513,165.0,0.1515,95.7901,7.6426
49025097080000_490513,165.5,0.1524,93.3422,7.6396
49025097080000_490513,166.0,0.1467,94.2475,7.6361
49025097080000_490513,166.5,0.1407,95.3763,7.7091
49025097080000_490513,167.0,0.1359,94.7124,7.7055
49025097080000_490513,167.5,0.1404,94.2808,7.7777
49025097080000_490513,168.0,0.1416,97.2698,7.8499
49025097080000_490513,168.5,0.1224,100.5872,7.9221
49025097080000_490513,169.0,0.1147,101.6915,7.9943
49025097080000_490513,169.5,0.1176,101.6267,7.9908
49025097080000_490513,170.0,0.135,99.9277,8.0631
49025097080000_490513,170.5,0.1397,99.9388,8.0601
49025097080000_490513,171.0,0.1376,99.9499,7.9815
49025097080000_490513,171.5,0.1379,99.0668,7.9035
49025097080000_490513,172.0,0.1431,96.3926,7.6754
49025097080000_490513,172.5,0.1367,95.9593,7.4473
49025097080000_490513,173.0,0.1304,94.4056,7.2943
49025097080000_490513,173.5,0.1257,93.7433,7.2157
49025097080000_490513,174.0,0.1226,100.0165,7.2128
49025097080000_490513,174.5,0.119,100.919,7.21
49025097080000_490513,175.0,0.1187,99.8151,7.2822
49025097080000_490513,175.5,0.1229,100.9439,7.3544
49025097080000_490513,176.0,0.1223,106.3174,7.5017
49025097080000_490513,176.5,0.1198,103.8722,7.5732
49025097080000_490513,177.0,0.1246,97.4005,7.5703
49025097080000_490513,177.5,0.1174,97.8586,7.5674
49025097080000_490513,178.0,0.1171,100.1052,7.5646
49025097080000_490513,178.5,0.1187,102.7989,7.561
49025097080000_490513,179.0,0.1231,104.5983,7.4831
49025097080000_490513,179.5,0.1309,104.6094,7.33
49025097080000_490513,180.0,0.1267,107.3031,7.177
49025097080000_490513,180.5,0.1287,108.2839,7.0991
49025097080000_490513,181.0,0.1341,103.0779,6.9454
49025097080000_490513,181.5,0.1329,100.63,6.8674
49025097080000_490513,182.0,0.1248,105.112,6.7895
49025097080000_490513,182.5,0.1233,104.676,6.7864
49025097080000_490513,183.0,0.1248,103.7929,6.7838
49025097080000_490513,183.5,0.1338,101.1148,6.7802
49025097080000_490513,184.0,0.1272,97.2698,6.8524
49025097080000_490513,184.5,0.1197,92.6177,6.8495
49025097080000_490513,185.0,0.1152,93.6438,6.9225
49025097080000_490513,185.5,0.1184,97.7057,6.994
49025097080000_490513,186.0,0.1352,97.0462,7.0662
49025097080000_490513,186.5,0.1328,96.7171,7.1384
49025097080000_490513,187.0,0.1286,100.3077,7.2106
49025097080000_490513,187.5,0.1325,101.2102,7.2828
49025097080000_490513,188.0,0.148,100.5534,7.2042
49025097080000_490513,188.5,0.1393,100.1174,7.1261
49025097080000_490513,189.0,0.1315,99.4579,6.8974
49025097080000_490513,189.5,0.13,98.5748,6.7444
49025097080000_490513,190.0,0.1437,97.4654,6.6665
49025097080000_490513,190.5,0.1419,98.597,6.5885
49025097080000_490513,191.0,0.1351,101.5142,6.5856
49025097080000_490513,191.5,0.1294,103.7607,6.5821
49025097080000_490513,192.0,0.1195,104.8896,6.6543
49025097080000_490513,192.5,0.1135,104.6743,6.7265
49025097080000_490513,193.0,0.1159,104.0148,6.7988
